全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
122319,,千葉県印西市,印旛晴山苑ショートステイサービス,インバセイザンエンショートステイサービス,,短期入所生活介護,122319,14000,千葉県印西市大廻187,千葉県,印西市,大廻,187,,,,,,0476-99-2522,,0476-99-2544,inba-seizanen.in@seizan-kai.or.jp,,,2701612,,,1274100112,,,,,,,
122319,,千葉県印西市,プレーゲ本埜短期入所生活介護事業所,プレーゲモトノタンキニュウショセイカツカイゴジギョウショ,,短期入所生活介護,122319,21000,千葉県印西市笠神1620,千葉県,印西市,笠神,1620,,,,,,0476-97-0100,,0476-97-0030,,,,2702322,,,1274300043,,,,,,,
122319,,千葉県印西市,介護老人保健施設ヴィラ大森,カイゴロウジンホケンシセツシヴィラオオモリ,,短期入所療養介護,122319,15000,千葉県印西市大森2218-1,千葉県,印西市,大森,2218-1,,,,,,0476-42-8864,,,sv-villa@bz01.plala.or.jp,,,2701327,,,1254680013,,,,,,,
122319,,千葉県印西市,ベストライフ印西,ベストライフインザイ,,介護付き有料老人ホーム,122319,15000,千葉県印西市大森3696,千葉県,印西市,大森,3696,,,,,,0476-42-1711,,0476-42-1712,,,,2701327,,,1273600930,,,,,,,
122319,,千葉県印西市,トミオ印西コスモステラス,トミオインザイコスモステラス,,介護付き有料老人ホーム,122319,50000,千葉県印西市草深2429-11,千葉県,印西市,草深,2429-11,,,,,,0476-47-7379,,0476-47-7378,,,,2701337,,,1273600641,,,,,,,
122319,,千葉県印西市,トワイライト,トワイライト,,住宅型有料老人ホーム,122319,53002,千葉県印西市高花2-3-6,千葉県,印西市,高花,2-3-6,,,,,,0476-33-3650,,0476-33-3652,,,,2701342,,,1273600872,,,,,,,
122319,,千葉県印西市,リーベディッヒ大森,リーベディッヒオオモリ,,サービス付高齢者向け住宅,122319,15000,千葉県印西市大森2614-2,千葉県,印西市,大森,2614-2,,,,,,0476-40-3255,,0476-40-3256,,,,2701327,,,1273600716,,,,,,,
122319,,千葉県印西市,アインストラッセ,アインストラッセ,,サービス付高齢者向け住宅,122319,60001,千葉県印西市中央南1-7-4,千葉県,印西市,中央南,1-7-4,,,,,,0476-85-4740,,0476-85-4741,,,,2701340,,,,,,,,,,
122319,,千葉県印西市,ソレイユ倶楽部印西,ソレイユクラブインザイ,,サービス付高齢者向け住宅,122319,27002,千葉県印西市木下東2-2-2,千葉県,印西市,木下東,2-2-2,,,,,,,,,,,,2701323,,,,,,,,,,
122319,,千葉県印西市,ＭＹＹケアリング印西,エムワイワイケアリングインザイ,,サービス付高齢者向け住宅,122319,34000,千葉県印西市小林1811-1,千葉県,印西市,小林,1811-1,,,,,,,,,,,,2701318,,,,,,,,,,
122319,,千葉県印西市,戸神ホームズ,トカミホームズ,,サービス付高齢者向け住宅,122319,64000,千葉県印西市戸神1045-6,千葉県,印西市,戸神,1045-6,,,,,,0476-40-6289,,0476-40-6289,,,,2701348,,,,,,,,,,
122319,,千葉県印西市,愛の家グループホーム印西木下,アイノイエグループホームインザイキオロシ,,認知症対応型共同生活介護（グループホーム）,122319,27003,千葉県印西市木下東3-12-15,千葉県,印西市,木下東,3-12-15,,,,,,0476-40-2150,,0476-40-2151,gh-168@mcsg.co.jp,,,2701323,,メディカル・ケアサービス株式会社,1293600050,,,18,,,,
122319,,千葉県印西市,グループホームうさぎの家,グループホームウサギノイエ,,認知症対応型共同生活介護（グループホーム）,122319,34000,千葉県印西市小林1644-1,千葉県,印西市,小林,1644-1,,,,,,0476-97-0968,,0476-97-0969,kosmos1@nifty.com,,,2701318,,社会福祉法人秋桜,1293600027,,,9,,,,
122319,,千葉県印西市,グループホーム秋桜,グループホームアキサクラ,,認知症対応型共同生活介護（グループホーム）,122319,34000,千葉県印西市小林4095-1,千葉県,印西市,小林,4095-1,,,,,,0476-97-4990,,0476-85-7881,kosmos1@nifty.com,,,2701318,,社会福祉法人秋桜,1273600203,,,9,,,,
122319,,千葉県印西市,グループホームスピリット,グループホームスピリット,,認知症対応型共同生活介護（グループホーム）,122319,15000,千葉県印西市大森2228-1,千葉県,印西市,大森,2228-1,,,,,,0476-36-5255,,0476-42-7346,g-spirit@bz01.plala.or.jp,,,2701327,,医療法人社団千葉医心会,1273600260,,,9,,,,
122319,,千葉県印西市,グループホームあいや,グループホームアイヤ,,認知症対応型共同生活介護（グループホーム）,122319,50000,千葉県印西市草深1132-8,千葉県,印西市,草深,1132-8,,,,,,0476-48-5780,,0476-48-5780,bz110113@bz01.plala.or.jp,,,2701337,,社会福祉法人北斗泰山会,1273600377,,,18,,,,
122319,,千葉県印西市,グループホームこまくさ,グループホームコマクサ,,認知症対応型共同生活介護（グループホーム）,122319,50000,千葉県印西市草深137-1,千葉県,印西市,草深,137-1,,,,,,0476-40-7711,,0476-47-7010,t-chiba@chibashintoshi.or.jp,,,2701337,,医療法人社団雅厚生会,1293600043,,,18,,,,
122319,,千葉県印西市,グループホームいきいきの家,グループホームイキイキノイエ,,認知症対応型共同生活介護（グループホーム）,122319,106000,千葉県印西市吉高3139,千葉県,印西市,吉高,3139,,,,,,0476-36-5201,,0476-36-5202,supervisor@ikiki-inzai.com,,,2701603,,医療法人社団寿光会,1293600076,,,18,,,,
122319,,千葉県印西市,グループホームフォーレストヴィラ,グループホームフォーレストヴィラ,,認知症対応型共同生活介護（グループホーム）,122319,64000,千葉県印西市戸神624-2,千葉県,印西市,戸神,624-2,,,,,,0476-85-6450,,0476-85-6455,gh.forest.villa@gmail.com,,,2701348,,医療法人社団千葉医心会,1293600159,,,18,,,,
122319,,千葉県印西市,特別養護老人ホームアマポーラ,トクベツヨウゴロウジンホームアマポーラ,,地域密着型介護老人福祉施設入所者生活介護,122319,9001,千葉県印西市内野1-7-1,千葉県,印西市,内野,1-7-1,,,,,,0476-37-7114,,0476-37-7134,kosmos1@nifty.com,,,2701347,,社会福祉法人北斗泰山会,1293600167,,,29,,,,
