"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字以下","建物名等","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FORMURL","連絡先備考その他SNSなど","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考","経度","緯度","分類"
"122319","","千葉県印西市","セブンイレブン印西中央南","セブンイレブンインザイチュウオウミナミ","","","","千葉県印西市中央南1-1-2","千葉県","印西市","中央南1-1-2","","","","カウンター内","0476-46-3575","","","","","2701340","","","全日","","","24時間営業","有","","","","","","","","140.118601700085","35.7997151998727","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西白幡","セブンイレブンインザイシラハタ","","","","千葉県印西市浦幡新田48-4","千葉県","印西市","浦幡新田48-4","","","","カウンター内","0476-42-1170","","","","","2701364","","","全日","","","24時間営業","有","","","","","","","","140.102847899921","35.8130198299147","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西岩戸","セブンイレブンインザイイワト","","","","千葉県印西市岩戸1338","千葉県","印西市","岩戸1338","","","","カウンター内","0476-99-1777","","","","","2701616","","","全日","","","24時間営業","有","","","","","","","","140.17431300003","35.7737979998156","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン千葉北総病院前","セブンイレブンチバホクソウビョウインマエ","","","","千葉県印西市舞姫1-5-3","千葉県","印西市","舞姫1-5-3","","","","カウンター内","0476-99-2030","","","","","2701608","","","全日","","","24時間営業","有","","","","","","","","140.202639300035","35.7832937899163","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン本埜長門橋","セブンイレブンモトノナガトバシ","","","","千葉県印西市安食卜杭652-3","千葉県","印西市","安食卜杭652-3","","","","カウンター内","0476-95-7175","","","","","2702302","","","全日","","","24時間営業","有","","","","","","","","140.230436099925","35.8399935198918","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印旛瀬戸","セブンイレブンインバセト","","","","千葉県印西市瀬戸1430-4","千葉県","印西市","瀬戸1430-4","","","","カウンター内","0476-98-2600","","","","","2701614","","","全日","","","24時間営業","有","","","","","","","","140.221110399987","35.7764411099714","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西高花団地入口","セブンイレブンインザイタカバナダンチイリグチ","","","","千葉県印西市船尾1376-2","千葉県","印西市","船尾1376-2","","","","カウンター内","0476-47-5777","","","","","2701345","","","全日","","","24時間営業","有","","","","","","","","140.133099900091","35.7932068598776","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西中央北1丁目","セブンイレブンインザイチュウオウキタイッチョウメ","","","","千葉県印西市中央北1丁目4番","千葉県","印西市","中央北1-4","","","","カウンター内","0476-46-5242","","","","","2701350","","","全日","","","24時間営業","有","","","","","","","","140.117300900143","35.8026029298716","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン千葉ニュータウン東","セブンイレブンチバニュータウンヒガシ","","","","千葉県印西市草深1142-12","千葉県","印西市","草深1142-12","","","","カウンター内","0476-47-7779","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.133606400085","35.8050676498282","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン鹿黒南","セブンイレブンカグロミナミ","","","","千葉県印西市鹿黒南3-4-6","千葉県","印西市","鹿黒南3-4-6","","","","カウンター内","0476-45-1017","","","","","2701369","","","全日","","","24時間営業","有","","","","","","","","140.135261000017","35.8166418598341","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","デイリーヤマザキ印西新井堀","デイリーヤマザキインザイアライボリ","","","","千葉県印西市草深字新井堀230-7","千葉県","印西市","草深字新井堀230-7","","","","カウンター内","0476-47-4435","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.148297499912","35.7894085099525","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","デイリーヤマザキ印西草深","デイリーヤマザキインザイソウフケ","","","","千葉県印西市草深字天王脇1120-1","千葉県","印西市","草深字天王脇1120-1","","","","カウンター内","0476-47-3421","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.132913200088","35.8088982898474","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","デイリーヤマザキ印西滝野","デイリーヤマザキインザイタキノ","","","","千葉県印西市草深字地国台1616-5","千葉県","印西市","草深字地国台1616-5","","","","カウンター内","0476-97-4191","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.169749700129","35.8053181498912","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマート印西木下","ファミリーマートインザイキオロシ","","","","千葉県印西市木下南2-10-2","千葉県","印西市","木下南2-10-2","","","","カウンター内","0476-40-3150","","","","","2701328","","","全日","","","24時間営業","有","","","","","","","","140.150018299988","35.8338593698175","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマート千葉ニュータウン中央東","ファミリーマートチバニュータウンチュウオウヒガシ","","","","千葉県印西市草深1101-1","千葉県","印西市","草深1101-1","","","","カウンター内","0476-40-0851","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.138433400022","35.8059443798572","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマート千葉ニュータウン原山","ファミリーマートチバニュータウンハラヤマ","","","","千葉県印西市草深1154-3","千葉県","印西市","草深1154-3","","","","カウンター内","0476-40-7101","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.132238100086","35.8034635598297","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマート印西中央北","ファミリーマートインザイチュウオウキタ","","","","千葉県印西市中央北1-3-1","千葉県","印西市","中央北1-3-1","","","","カウンター内","0476-40-6160","","","","","2701350","","","全日","","","24時間営業","有","","","","","","","","140.116432400132","35.8043818798744","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマート印西小倉台","ファミリーマートインザイオグラダイ","","","","千葉県印西市小倉台4-6-2","千葉県","印西市","小倉台4-6-2","","","","カウンター内","0476-40-1331","","","","","2701356","","","全日","","","24時間営業","有","","","","","","","","140.111978900101","35.8071576898825","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ファミリーマートグッドマンビジネスパーク","ファミリーマートグッドマンビジネスパーク","","","","千葉県印西市鹿黒南3-4-1","千葉県","印西市","鹿黒南3-4-1","","","","カウンター内","0476-48-3923","","","","","2701369","","","全日","","","24時間営業","有","","","","","","","","140.134196500047","35.8149009698268","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ミニストップ印西小林","ミニストップインザイコバヤシ","","","","千葉県印西市小林3639","千葉県","印西市","小林3639","","","","カウンター内","0476-42-7176","","","","","2701318","","","全日","","","24時間営業","有","","","","","","","","140.198134500099","35.8336638499184","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ミニストップ印西草深","ミニストップインザイソウフケ","","","","千葉県印西市草深2158-3","千葉県","印西市","草深2158-3","","","","カウンター内","0476-47-5559","","","","","2701337","","","全日","","","24時間営業","有","","","","","","","","140.159121700006","35.798664129881","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ミニストップ千葉ニュータウン原山","ミニストップチバニュータウンハラヤマ","","","","千葉県印西市高花1-26","千葉県","印西市","高花1-26","","","","カウンター内","0476-47-7119","","","","","2701342","","","全日","","","24時間営業","有","","","","","","","","140.132918400095","35.8008304698512","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ローソンスリーエフ印西平賀学園入口","ローソンスリーエフインザイヒラカガクエンイリグチ","","","","千葉県印西市平賀1199-1","千葉県","印西市","平賀1199-1","","","","自立式ＢＯＸ（店内）","0476-98-2202","","","","","2701605","","","全日","","","24時間営業","有","","","","","","","","140.249482899977","35.7543898398898","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ローソン印西東京電機大前","ローソンインザイトウキョウデンキダイマエ","","","","千葉県印西市武西1134-4","千葉県","印西市","武西1134-4","","","","自立式ＢＯＸ（店内）","0476-40-6605","","","","","2701354","","","全日","","","24時間営業","有","","","","","","","","140.105149500107","35.7953520298561","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","ローソン印西岩戸","ローソンインザイイワト","","","","千葉県印西市岩戸3604-5","千葉県","印西市","岩戸3604-5","","","","自立式ＢＯＸ（店内）","0476-80-1616","","","","","2701616","","","全日","","","24時間営業","有","","","","","","","","140.174530499975","35.7840317299492","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","セブンイレブン印西中央南一丁目","セブンイレブンインザイチュウオウミナミイッチョウメ","","","","千葉県印西市中央南1丁目12-2","千葉県","印西市","中央南1-12-2","","","","","0476-37-3138","","","","","2701340","","","全日","","","24時間営業","","","","","","","","","140.115628600099","35.7984376598676","オープンデータ_AED設置個所一覧"
